age,workclass,education,maritalstatus,occupation,race,sex,hoursperweek,country,income
<18,Private,11th,Never-married,Exec-managerial,White,Female,24,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
<18,Private,11th,Never-married,Adm-clerical,White,Female,12,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,Black,Male,15,United-States,LessThan50K
<18,?,12th,Never-married,?,White,Female,8,United-States,LessThan50K
<18,Private,11th,Never-married,Sales,White,Female,14,United-States,LessThan50K
<18,Private,10th,Never-married,Tech-support,White,Male,10,United-States,LessThan50K
<18,?,10th,Never-married,?,White,Male,40,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,White,Male,14,United-States,LessThan50K
<18,Private,12th,Never-married,Other-service,White,Female,6,United-States,LessThan50K
<18,?,10th,Never-married,?,White,Male,40,United-States,LessThan50K
<18,Private,11th,Never-married,Handlers-cleaners,White,Male,10,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,White,Female,30,United-States,LessThan50K
<18,Private,10th,Never-married,Other-service,White,Female,10,United-States,LessThan50K
<18,Private,HS-grad,Never-married,Adm-clerical,White,Male,18-21,United-States,LessThan50K
<18,Private,11th,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
<18,Self-emp-not-inc,12th,Never-married,Handlers-cleaners,White,Male,15,United-States,LessThan50K**
<18,Local-gov,11th,Never-married,Craft-repair,White,Male,35,United-States,LessThan50K
<18,Private,10th,Never-married,Handlers-cleaners,White,Male,10,United-States,LessThan50K
<18,Private,10th,Never-married,Sales,White,Female,16,United-States,Lessan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,18-21,United-States,LessThan50K**
18-21,Private,Some-college,Never-married,Sales,White,Female,18-21,United-States,LessThan50K
18-21,Self-emp-inc,Some-college,Never-married,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,?,11th,Never-married,?,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,33,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,White,Male,24,United-States,LessThan50K
18-21,?,11th,Never-married,?,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Black,Female,15,Haiti,LessThan50K**
18-21,Private,12th,Never-married,Protective-serv,White,Female,45,United-States,LessThan50K
18-21,?,11th,Never-married,?,White,Male,18-21,Mexico,LessThan50K
18-21,Private,11th,Never-married,Sales,White,Female,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,26,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Male,8,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,30,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Sales,Black,Male,8,United-States,LessThan50K
18-21,Self-emp-not-inc,10th,Never-married,Craft-repair,White,Male,40,England,LessThan50K
18-21,Self-emp-inc,12th,Never-married,Farming-fishing,White,Male,10,United-States,Lessan50K
18-21,?,Some-college,Never-married,?,White,Male,18-21,United-States,LessThan50K
18-21,?,11th,Never-married,?,Black,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Black,Male,40,United-States,Lessan50K**
18-21,Private,HS-grad,Never-married,Other-service,White,Female,35,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,White,Female,12,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Male,23,United-States,LessanTh50K
18-21,Private,11th,Never-married,Prof-specialty,White,Male,5,United-States,LessThan50K**
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,50,United-States,LessThan50K
18-21,Private,12th,Never-married,Other-service,White,Female,12,United-States,LessThan50K**
18-21,Private,11th,Never-married,Sales,White,Female,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Female,18-21,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Female,15,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,White,Male,18-21,United-States,LessThan50K**
18-21,Local-gov,Some-college,Never-married,Other-service,White,Male,15,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,Other,Male,25,United-States,LessThan50K
18-21,Self-emp-not-inc,9th,Never-married,Farming-fishing,Other,Female,40,Mexico,LessThan50K
18-21,?,11th,Never-married,?,White,Female,45,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,30,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,40,?,LessThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,White,Female,23,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,White,Female,16,United-States,LessThan50K
18-21,Private,11th,Never-married,Adm-clerical,White,Female,15,United-States,LessThan50K
18-21,Private,12th,Never-married,Sales,White,Female,16,United-States,LessThan50K
18-21,?,11th,Never-married,?,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Tech-support,White,Female,40,United-States,LessThan50K
18-21,Federal-gov,HS-grad,Never-married,Transport-moving,White,Male,40,United-States,LessThan50K
18-21,?,12th,Never-married,?,White,Male,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,15,United-States,LessThan50K
18-21,?,12th,Never-married,?,White,Male,10,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,40,United-States,LessThan50K
18-21,?,12th,Never-married,?,White,Male,25,United-States,LessThan50K
18-21,Private,11th,Never-married,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,Private,9th,Never-married,Handlers-cleaners,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,40,United-States,LessThan50K
18-21,Private,10th,Never-married,Sales,White,Male,10,United-States,LessThan50K
18-21,Local-gov,12th,Never-married,Prof-specialty,White,Male,30,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,10,United-States,Lessan50K
18-21,?,HS-grad,Never-married,?,Other,Female,12,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,LessThan50K**
18-21,Private,HS-grad,Never-married,Sales,White,Female,28,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,18-21,United-States,LessThan50K**
18-21,?,11th,Never-married,?,White,Male,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,40,?,LessThan50K**
18-21,Private,11th,Never-married,Other-service,White,Male,18-21,Scotland,LessThan50K
18-21,Private,11th,Never-married,Sales,White,Female,10,United-States,LessThan50K
18-21,?,10th,Never-married,?,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,16,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,6,United-States,LessThan50K**
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,Lessan50K
18-21,Private,11th,Never-married,Other-service,Black,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,White,Male,30,United-States,LessThan50K
18-21,Private,9th,Never-married,Other-service,Black,Male,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,30,United-States,LessThan50K
18-21,?,12th,Never-married,?,White,Female,25,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Black,Male,8,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,18-21,United-States,LessThan50K
18-21,Self-emp-inc,HS-grad,Never-married,Other-service,Asian-Pac-Islander,Female,30,India,LessThan50K
18-21,Private,7th-8th,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,15,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,White,Female,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,12,United-States,LessThan50K
18-21,Private,12th,Never-married,Farming-fishing,White,Male,55,United-States,LessThan50K
18-21,Private,12th,Never-married,Other-service,White,Male,15,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,25,United-States,LessThan50K
18-21,State-gov,HS-grad,Never-married,Other-service,White,Male,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,Lessan50K
18-21,Private,11th,Never-married,Sales,White,Male,15,United-States,LessanTh50K
18-21,Private,12th,Never-married,Adm-clerical,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Black,Female,24,United-States,LessThan50K
18-21,Private,11th,Never-married,Sales,White,Male,18-21,United-States,LessThan50K
18-21,Self-emp-not-inc,10th,Never-married,Farming-fishing,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Other,Male,30,United-States,LessThan50K
18-21,Private,12th,Never-married,Priv-house-serv,White,Female,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,30,United-States,LessThan50K
18-21,Private,10th,Never-married,Sales,White,Female,18-21,United-States,LessThan50K**
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,LessanTh50K**
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Female,40,United-States,Lessan50K
18-21,Private,11th,Never-married,Other-service,White,Male,12,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,Black,Male,23,United-States,LessThan50K
18-21,Private,11th,Never-married,Prof-specialty,White,Male,3,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,12th,Never-married,Handlers-cleaners,Black,Male,18-21,United-States,LessThan50K
18-21,Private,10th,Never-married,Farming-fishing,White,Male,27,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,40,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,White,Male,10,United-States,LessThan50K
18-21,?,12th,Never-married,?,Black,Male,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Sales,White,Male,18-21,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,Other,Female,40,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Male,25,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K
18-21,Private,12th,Never-married,Sales,White,Male,14,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,30,United-States,LessThan50K
18-21,?,12th,Never-married,?,Black,Male,25,United-States,LessThan50K
18-21,Private,11th,Never-married,Sales,Black,Female,10,United-States,LessThan50K
18-21,?,11th,Never-married,?,White,Male,25,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Male,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Asian-Pac-Islander,Male,16,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Self-emp-inc,11th,Never-married,Farming-fishing,White,Male,70,United-States,LessThan50K
18-21,Local-gov,11th,Never-married,Adm-clerical,White,Male,12,United-States,LessThan50K
18-21,Private,10th,Never-married,Other-service,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Transport-moving,White,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,18-21,United-States,LessThan50K
18-21,Private,9th,Never-married,Other-service,Black,Male,35,United-States,LessThan50K**
18-21,?,11th,Never-married,?,White,Female,25,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,Black,Male,16,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Protective-serv,White,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Male,30,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,18-21,United-States,LessThan50K
18-21,Private,10th,Never-married,Sales,White,Female,40,United-States,LessThan50K
18-21,Local-gov,Some-college,Never-married,Prof-specialty,White,Female,30,United-States,LessThan50K
18-21,Private,9th,Never-married,Other-service,White,Female,50,Mexico,LessThan50K
18-21,?,Some-college,Never-married,?,Asian-Pac-Islander,Male,2,South,LessThan50K
18-21,Private,Preschool,Never-married,Farming-fishing,White,Male,36,Mexico,LessThan50K
18-21,Private,11th,Never-married,Adm-clerical,White,Female,15,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,35,Germany,LessThan50K
18-21,Private,HS-grad,Never-married,Prof-specialty,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Transport-moving,White,Male,46,United-States,LessThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,Farming-fishing,White,Female,32,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,White,Female,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Tech-support,Black,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,30,United-States,LessThan50K**
18-21,?,Some-college,Never-married,?,Black,Male,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Other-service,White,Female,40,United-States,Lessan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Tech-support,White,Female,30,United-States,LessThan50K
18-21,State-gov,Some-college,Never-married,Adm-clerical,White,Female,8,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Male,40,United-States,LessThan50K
18-21,Private,Assoc-voc,Never-married,Other-service,White,Female,18-21,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Married-spouse-absent,Adm-clerical,White,Male,40,United-States,LessThan50K**
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Male,40,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Female,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,White,Male,35,United-States,LessThan50K**
18-21,Private,Preschool,Never-married,Farming-fishing,White,Male,50,Mexico,LessThan50K
18-21,Self-emp-inc,HS-grad,Never-married,Exec-managerial,White,Male,40,United-States,LessThan50K
18-21,Private,7th-8th,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K**
18-21,?,Some-college,Never-married,?,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,White,Female,35,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,White,Male,25,United-States,LessThan50K
18-21,Private,Some-college,Divorced,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,White,Male,35,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,15,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,10,United-States,LessThan50K
18-21,Private,10th,Never-married,Handlers-cleaners,White,Male,35,United-States,Lessan50K
18-21,Federal-gov,Some-college,Never-married,Adm-clerical,Black,Female,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Tech-support,White,Female,10,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Handlers-cleaners,Black,Male,40,United-States,LessThan50K**
18-21,Private,Some-college,Never-married,Adm-clerical,Black,Male,18-21,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Female,28,Mexico,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,30,United-States,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,45,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,50,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Adm-clerical,White,Female,24,United-States,LessThan50K**
18-21,State-gov,Some-college,Never-married,Other-service,Black,Male,35,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Exec-managerial,White,Female,30,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,Asian-Pac-Islander,Male,18-21,Philippines,LessThan50K
18-21,Private,Some-college,Never-married,Machine-op-inspct,White,Female,30,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,White,Male,25,United-States,Lessan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Female,18-21,United-States,LessThan50K
18-21,Private,11th,Never-married,Handlers-cleaners,White,Male,30,United-States,LessThan50K
18-21,Private,11th,Never-married,Other-service,White,Female,28,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,18-21,United-States,Lessan50K
18-21,Private,HS-grad,Never-married,Craft-repair,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Other-service,Black,Male,35,United-States,LessThan50K
18-21,?,HS-grad,Never-married,?,White,Male,40,Italy,LessThan50K
18-21,?,Some-college,Never-married,?,White,Male,24,Canada,LessThan50K
18-21,Private,Some-college,Never-married,Adm-clerical,White,Male,28,United-States,LessThan50K**
18-21,?,HS-grad,Never-married,?,White,Male,40,United-States,LessThan50K
18-21,Local-gov,HS-grad,Divorced,Exec-managerial,White,Female,35,United-States,LessThan50K**
18-21,Private,HS-grad,Never-married,Machine-op-inspct,White,Male,40,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Handlers-cleaners,White,Male,18-21,United-States,LessThan50K
18-21,Private,HS-grad,Never-married,Sales,White,Male,50,United-States,LessThan50K
18-21,Private,Some-college,Never-married,Sales,White,Female,30,United-States,LessThan50K
